# class(module)	fnCount
CCreatureAction_UnsheatheItemFromInventory	6
CGameMap	6
CFaction	6
CScriptConversationManager	6
CGameCameraBase	6
CModeConversation	6
CPCMouseLook	6
CModeJackOfBladesScream	6
CModeBlock	6
CModeStunned	6
CCreatureAction_UndeadRiseUp	6
CLightningBeam	6
NThingShot	6
CTCUserActionPointBase	6
CCombatAction_ControlledStrafeJump	6
CThingComponentSet	6
CEditInputProcessMapPlacement	6
CEditTransactionManager	6
CFractalDialog	6
CTCContainer	6
CWillButtonHelperTimer	6
CAIStateGroup_MinionHasInformation	6
CAIStateGroup_MinionListenToStory	6
CAIStateGroup_IdleAtHome	6
CAIStateGroup_MinionGuardReactToCriminal	6
CAIStateGroup_MinionPutOutFires	6
CAIStateGroup_MinionWatchFires	6
CAIStateGroup_MinionSitAtHome	6
CAIStateGroup_SeekScriptTarget	6
CAIStateGroup_VillageTaskPatrol	6
CAIStateGroup_VillageTaskSecuritySweep	6
CAIStateGroup_VillageTaskPickCrops	6
CAIStateGroup_KidPlayHopscotch	6
CAIStateGroup_WorkInWarehouse	6
CAIStateGroup_SellToBuyer	6
CAIStateGroup_MazeRangedCombat	6
CAIStateGroup_MazeShieldedChase	6
CAIStateGroup_MazeTutorialBattleRespondToLightning	6
CAIStateGroup_HoverHornetQueenTakeDamage	6
CAIStateGroup_CreatureSeekEnemyUnderground	6
CAIStateGroup_CarryCrateAndFollow	6
CAIStateGroup_Thunder	6
CAIStateGroup_MinionBehaviourPodiumEmoteNeutral	6
CAIStateGroup_JackOfBladesStage2	6
CAIStateGroup_CreatureAdvanceInCover	6
CPhysicsForceModelRigid	6
CPhysicsForceModelGotoOutsideSimple	6
CAIStateGroup_Gaze	6
CAIStateGroup_ServeFood	6
CEngineScreenEffectColourFilter	6
CLandscapeBackgroundDynamicBuildTemplate	6
CEnginePrimitiveManager2DSprites	6
CEnginePrimitiveManagerSprites	6
CEnginePrimitiveManagerDecal	6
CEnginePrimitiveManagerParticleSpriteGroup	6
CParticleEmitterList	6
NBankFileManager	6
NProfileTimer	6
CDateAndTime	6
CGameEventPackageSet	6
CGraphicBankManager	6
CPhysicsMeshInfo	6
CGraphicFrameData	6
CMeshBankManager	6
CInputProcessManager	6
CRenderTarget	6
CNavigatorBase	6
CSuspendableProcessMicrothread	6
CMatrix3x4	6
CGuiControlFlatListBox	6
CDeviceIndependent	6
CVertexBufferWin32	6
CSurfaceCompositor	6
CMovableResourceMemoryPool	6
CMatrix4x4	6
CGenericVarRef	6
CChunkedFileRawDataChunk	6
COptimisedFace	6
CVertexPairContraction	6
CSUMMONED_CREATURE	6
CQ_EndGameFocalSitesScript	6
CQ_EndGameBossBattleScript	6
CScorpionHome	6
CQ_GuildTrainingWoodsWillScript	6
CQ_HeroSoulsThunderScript	6
CQ_HeroSoulsBriarScript	6
CQ_HeroSoulsGuildmasterScript	6
CQ_HerosOldHouseScript	6
CQ_SummoningTheShipScript	6
CQ_TraderConflictEvilScript	6
CQ_WhiteBalverineKnotholeGladeScript	6
CQ_WhiteBalverineWWScript	6
CQR_EscortTrader_ManagerScript	6
CTollBandit	6
CBodyGuard	6
CSpectator	6
CV_FishermanScript	6
CV_ParanoidWhispersScript	6
CV_SickChildScript	6
CWomanToAttract	6
CAT_BanditAlly	6
CCreatureAction_NavToPos	5
CDefClassBase	5
CStartupDefinitionManager	5
CInputTypeXboxPadButtonEvent	5
CThingSearchTools	5
CTCGamePlayer	5
CFrameRateSmoother	5
CTCActionUseBuyOrSteal	5
